message_id,uid,nickname,create_time,Attitude,Score from bot (perspective API),comment_text,sentiment,up_count,down_count,abusevote_count,reply_count,Selection_bot,Moderation_bot
ea670ad8-8d0d-4614-8c04-50e2ce4239c6,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,11/8/18 03:47,F-,0.04,"Treat it like alcohol.  You can't drive, can't do it in the park or walking down the street or in front of people.  Be respectful and there's no problem.",NEUTRAL,40,3,0,7,,
2ca22125-05d7-46b9-b613-bf46effb068b,SO6OWYBES4LMAB7CKOHM5GWVUC,Troll_God,11/7/18 23:01,F-,0.05,Good there are way more benefits to medical use than the media and big pharmaceutical want to let on..I’m glade there's a movement,NEUTRAL,4,3,0,0,,
8af5e578-65ce-4ef3-8438-9e1648fd38dc,H4J6ZPIC3BPI5RN2SOZNLP37GA,The Immortal One,11/7/18 21:25,Ag-,0.17,"Well, I voted against this but I knew it would win. I am not a drug fan but realize it is a big waste of law enforcement time and unjust punishment for the users. Still you could not get me to say that this is a great idea. Just best for the circumstances.",NEUTRAL,2,2,0,0,,
1d50c666-3902-4a01-8382-9ec1ca8ed98e,VQANCXFUBF55OTXGQBF4WEUMAU,Thinkforyourself,11/8/18 01:50,AbA,0.19,"It is all about accountability.  For the ""truly"" sick, I am not opposed to it.  But NO ONE watches these sales, NO ONE hold these sellers accountable, and because of this, it spreads to become recreational use also.  I watched my neighbors son, who was a great athlete in high school, a very good student, and an outgoing, friendly young man, to getting involved with the wrong people and becoming hooked on weed.  He lost his job, lost his interest in life, gained 75 lbs and became a recluse.  His relationship with his family suffered greatly and was on a terrible downward spiral.  The family had a young Minister come to talk to him, and that was his start for recovery.  I am happy to say the young man is about 80% recovered and is doing better each year.  He is now 34 and has wasted over 10 years because of weed, pot, marijuana  .  Don't anyone tell me that pot, weed, marijuana does not destroy lives.",NEGATIVE,1,5,0,3,Recommended by bot,
e890f1ac-4880-42e0-b569-d38c86af1a67,6SBVYZ5QE22M7VQKGURTI55TUE,Stanley,11/8/18 00:50,PF*,0.71,"This won't last very long, I know many mothers who gave this garbage to their little kids and they all have brain damage. They gonna build more Jails for all you Low Lifes to spend some time in like you deserve !",NEGATIVE,1,2,0,0,,Bot assessment: Not appropriate
1a1b3bf7-4d1e-46da-a3d5-8a59d156f183,PVNMNW772S2Z7TZGL4FUKYVC54,LaughandASmile,11/8/18 01:05,Ag-,0.44,"So, where are the laws for when people do  
everyday work activities (i.e. driving, flying 
a plane, getting your teeth worked on, 
surgery, buying and trading stocks, watching kids in daycare, etc) are done by stoned individuals who end up killing people? None yet? That cannot be good for society.",NEUTRAL,1,1,0,2,,
5dc4a64c-a37e-4734-99ae-6588c81b988d,6EPTNIZ4BRSJPFRGQ3WN45AG7M,TAY,11/7/18 23:44,AbF,0.32,"So the Mormons can't drink coffee or coca cola, as they are ""stimulants"", but it is o.k. to smoke weed? I admit, weed does not seem to be a stimulant. Just the opposite really. Finally, some common sense.",NEUTRAL,1,0,0,1,Recommended by bot,
db543b1c-e30c-4279-808b-1e0886a99f0b,MXDVS6L3K2ADYQHZMFBIUJSWDE,Calvin,11/8/18 11:15,PF*,0.76,Enjoy killing yourselves faster by smoking pot you. States with legal pot have sn increase in car accidents. Soon they will have a good test and put you in jail. Ex pot smoker here. Ruined my life. Clean now for 5 years. Lungs are a mess.,NEGATIVE,1,0,0,0,,Bot assessment: Not appropriate
21d698a2-3aaf-4075-b5c7-992eda3e97e8,64NW7ODKRKXF5SZG7A2KPLMLLY,UNKNOWN,11/8/18 00:46,AbF,0.23,"Human frailties are prominently shown when we do not learn from history/experience.
Prohibition showed us it is nonsensical - and enhances criminal activity - to outlaw substances that alter consciousness.
Another example:  our 60+ year old ""war on drugs"" is not going well at all.  In fact, as time has gone on, more and more illegal drugs have been made available to those who chose to use them.  And, the longer the ""war on drugs"" has dragged on, the richer and richer the drug cartels and drug dealers have become.",NEGATIVE,0,0,0,0,Recommended by bot,
9a1c867e-e664-457b-ba81-a6737ecf625f,TGG7TYLPBQ23DK5O4R3RU57O7I,Glenn,11/8/18 06:30,PA*,0.62,"Michigan to me is so depressing that they would clammor to legalize pot, hell they probably would legalize heroin if they could, at least in Flint. Missouri (or Missourah) would be a nice state to live in if that state legalized the bud. North Dakota can kiss my behind, and yes, South Dakota is better than you!",NEUTRAL,0,2,0,0,,Bot assessment: Not appropriate
ecf1fa4d-5e84-4b5d-8be2-c4d8ba09535d,BVO66COL7MIMXPJHTBCRSKBLT4,jason,11/8/18 07:46,AbA,0.13,"I don't understand why people are so against marijuana. It is not the marijuana that is bad. Marijuana is just like anything else in life. It is up to the individual who uses it. Take for example alcohol it is fine as long as you don't abuse it.People like to make excuses for their own problems, but in all reality it is the person's own fault for not being responsible for themselves.",NEGATIVE,0,1,0,0,Recommended by bot,
6a238afd-7653-432f-80d6-85861a9ccb72,ST27FEFDBIHKLUEQOWWLN4DPG4,lostincali,11/8/18 00:47,PA*,0.47,"If the united states where ever to come under attack, These are the states  they should attack first Because there all as high as a kite .",NEUTRAL,0,0,0,0,,Bot assessment: Not appropriate
